x,y
0.0,0.0
0.001,0.13185054524371914
0.002,0.2631235242489423
0.003,0.39324392335560593
0.004,0.52164182268218
0.005,0.6477549146202388
0.006,0.7710309883983406
0.007,0.8909303696425309
0.008,1.006928304063011
0.009000000000000001,1.118517274647573
0.01,1.2252092420411627
0.011,1.326537798136038
0.012,1.4220602232868624
0.013000000000000001,1.5113594379979998
0.014,1.5940458404042166
0.015,1.669759021378891
0.016,1.7381693496532789
0.017,1.7989794199139784
0.018000000000000002,1.851925357460764
0.019,1.8967779736506865
0.02,1.933343767023842
0.021,1.9614657656984447
0.022,1.981024207334706
0.023,1.991937053695287
0.024,1.994160337571444
0.025,1.9876883405951378
0.026000000000000002,1.9725536012148488
0.027,1.9488267528733085
0.028,1.916616193185301
0.029,1.8760675856697482
0.03,1.8273631963390173
0.031,1.7707210681864205
0.032,1.7063940373368962
0.033,1.6346685953325855
0.034,1.5558636027113004
0.035,1.4703288596985993
0.036000000000000004,1.3784435404703945
0.037,1.2806144980498426
0.038,1.1772744474769807
0.039,1.068880035429649
0.04,0.9559098049771514
0.041,0.838862064611771
0.042,0.7182526711254402
0.043000000000000003,0.5946127362778066
0.044,0.46848626753589356
0.045,0.3404277534530762
0.046,0.21099970449492098
0.047,0.0807701603104652
0.048,-0.049689825410971555
0.049,-0.17980871126609357
0.05,-0.3090169943749472
0.051000000000000004,-0.43674972526711336
0.052000000000000005,-0.5624490002152369
0.053,-0.6855664199252146
0.054,-0.8055655036530422
0.055,-0.9219240480279236
0.056,-1.0341364201189291
0.057,-1.1417157745869035
0.058,-1.2441961851131627
0.059000000000000004,-1.3411346806901183
0.06,-1.4321131777944878
0.061,-1.5167402999392459
0.062,-1.5946530766136844
0.063,-1.6655185141696034
0.064,-1.729035031793165
0.065,-1.7849337563136944
0.066,-1.8329796702399292
0.067,-1.8729726080778935
0.068,-1.9047480966698358
0.069,-1.9281780359972265
0.07,-1.9431712176096314
0.07100000000000001,-1.9496736785719653
0.07200000000000001,-1.9476688895619625
0.073,-1.937177776494283
0.074,-1.9182585757941424
0.075,-1.8910065241883682
0.076,-1.8555533846219243
0.077,-1.8120668106399307
0.078,-1.7607495522957126
0.079,-1.7018385073511915
0.08,-1.6356036222238426
0.081,-1.5623466478013759
0.082,-1.482399755888288
0.083,-1.3961240226645737
0.084,-1.3039077861235033
0.085,-1.2061648850097288
0.08600000000000001,-1.1033327872987762
